# BEAST v1.8.2, r6687
# Generated Tue Dec 22 17:15:33 PST 2015 [seed=1450833333029]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
0	-25109.827020556764	-3693.7289733524135	-21416.098047204352	305.9680494653821	60.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	25.0	25.0	25.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0049	-21416.098047204352	-1345.7344064250776
100000	-11579.106622829195	-3521.3200900805855	-8057.78653274861	23.19819958186226	64.79022453125697	98.11198121717922	89.94553682527108	18.29893628069457	32.133585631974576	65.39830745692005	312.8402004848925	1813.3619689016177	56.76844471372146	8.590239849788933	51.0	46.0	5.0	48.0	39.0	4.0	4.0	5.0	19.0	22.0	3.743956419797287	0.35092866924476834	0.21499885335528002	0.2023124723447437	0.23176000505520802	0.005086636245250826	-8057.78653274861	-1160.14389005821
200000	-11343.72662437949	-3396.668436583403	-7947.058187796086	15.37929885409428	26.788497703876757	30.16916134490595	67.22931179122261	15.547155488448512	12.119492355308273	42.78669003568722	240.94096904163845	788.8062590704386	27.588965513695616	3.5092139513927902	62.0	31.0	32.0	50.0	15.0	3.0	3.0	8.0	22.0	17.0	3.6988200666927353	0.4138978855695341	0.17739831726577493	0.18772435693504672	0.22097944022964416	0.006842275433740698	-7947.058187796086	-1038.145414237667
300000	-11268.956176833952	-3383.7893763527977	-7885.1668004811545	17.99091778527863	31.68665502157636	25.074492917803394	19.48070443232796	11.623638386388487	17.185313384270092	50.99621045911971	463.1412610631555	1071.871251571504	42.033229860362155	7.584655985232201	45.0	56.0	34.0	28.0	30.0	2.0	1.0	4.0	24.0	19.0	3.712479462824139	0.41394507041146184	0.1844300811207967	0.1901320506225147	0.21149279784522657	0.006295000234573515	-7885.1668004811545	-1025.5322991017867
400000	-11139.613699973579	-3323.153484764052	-7816.460215209528	16.64725728315271	46.93102358279028	14.625972446891137	16.341205147658602	13.15641210223819	26.121776094211324	144.6492770538452	547.6938929149139	967.3009889130608	57.24406184566602	5.628483632596588	33.0	62.0	71.0	26.0	3.0	1.0	1.0	4.0	21.0	21.0	3.466602141317138	0.416053499275031	0.19124606444560516	0.18590083511980834	0.2067996011595553	0.006862089319941164	-7816.460215209528	-963.5582728926404
500000	-11098.323934026435	-3299.4344974084293	-7798.889436618006	15.56403748417104	27.90610806465873	18.170086850130886	9.271030958280228	20.111807663217228	14.08592677316994	54.06605226594383	145.3625411977457	598.302679001866	56.16890041775041	6.660767443026419	54.0	18.0	89.0	21.0	8.0	6.0	1.0	3.0	24.0	19.0	3.5463633029523907	0.4190958843799958	0.1867976506606255	0.18627043687797806	0.20783602808140042	0.007244824950916749	-7798.889436618006	-942.9226579632115
600000	-11087.33750313052	-3290.583313288327	-7796.754189842193	17.893689556217776	29.776319855117123	36.601393514375154	8.223822863663132	23.548326827271556	29.405699245290872	100.04781169756083	400.6701077166999	1392.299295151419	66.20239439536839	6.753758844761979	49.0	20.0	104.0	6.0	16.0	1.0	2.0	2.0	23.0	20.0	3.5662075752639297	0.4085393856695165	0.1749767341246421	0.18391112568835033	0.232572754517491	0.0070236814781847925	-7796.754189842193	-929.2286845724448
700000	-11059.518502097504	-3263.4910994866104	-7796.027402610893	16.06369910075915	55.137631145093096	12.371421974110424	9.24128501047448	8.708633374678053	13.282094247100762	68.94426924508727	227.2819690728985	818.9109422622969	43.37447506289884	5.435226163327202	46.0	15.0	108.0	15.0	9.0	4.0	1.0	8.0	20.0	17.0	3.534248348411146	0.3940154833870676	0.1930882068029029	0.20747985180997627	0.20541645800005323	0.007242596293220349	-7796.027402610893	-905.3497823784704
800000	-11083.40827376434	-3305.3160140163245	-7778.092259748015	16.083778186368306	41.13613506696165	15.407570122517393	10.53836366219384	7.140609653886624	39.113240544919655	102.58263378971643	683.5107942943791	349.37586658377336	44.6708369211336	3.0649808786211996	66.0	8.0	116.0	4.0	3.0	1.0	4.0	2.0	25.0	14.0	3.511187284133773	0.4142264441041349	0.179672150887798	0.1929639211362609	0.21313748387180625	0.006820633204709628	-7778.092259748015	-946.3938852280442
900000	-11052.418909040895	-3273.6193120971016	-7778.7995969437925	15.284376738010701	55.59800072093835	5.7955138541913485	11.792000539250084	8.689078292260039	29.287439042521683	126.02083720179516	600.7515194106842	177.35415077951617	24.641465419558056	4.835676297238885	31.0	23.0	102.0	36.0	1.0	4.0	4.0	8.0	23.0	11.0	3.755619548627982	0.433610952181299	0.18299961041834953	0.17199049219446214	0.21139894520588937	0.007444437563987136	-7778.7995969437925	-914.2804268984382
1000000	-11001.306516654946	-3244.1075612948816	-7757.198955360065	13.530846887371823	102.86473482054997	18.08473434771732	7.402417560991365	7.696743005684638	39.62121149332602	240.65489367922856	1172.4092596410871	25.941503311836815	4.35778571378569	0.48619148165725634	14.0	28.0	101.0	37.0	15.0	2.0	6.0	22.0	15.0	3.0	3.6505161032508644	0.397700129314397	0.1964361169165618	0.18924712627769738	0.21661662749134383	0.007715079921500569	-7757.198955360065	-881.3432741475766
1100000	-11002.314970570711	-3233.1166902879013	-7769.198280282809	15.394201380360055	70.15197413238816	56.52088911214402	6.968227277442484	9.059684794967211	11.04842760880736	52.630266966943594	734.3654134949821	43.22820196039396	12.75174765241573	1.5423105168095816	13.0	16.0	108.0	22.0	31.0	6.0	5.0	16.0	20.0	6.0	3.5780184753072883	0.40371988823427846	0.19755735058503152	0.1854534021627898	0.2132693590179005	0.0075171327228686	-7769.198280282809	-868.1767450534859
1200000	-11079.364907254585	-3320.9387587510173	-7758.426148503568	16.88134955245405	65.00439112233553	33.03683936896677	11.816100470582212	21.47267656432572	113.60475811224303	336.4707967443563	737.4005833374996	82.05546383701665	18.575256751963185	0.14020861182537814	36.0	1.0	120.0	35.0	1.0	2.0	8.0	16.0	18.0	6.0	3.7672202707601925	0.37154080154545044	0.19915501659633525	0.2013098753973382	0.2279943064608764	0.00660678413795231	-7758.426148503568	-963.646758516763
