# BEAST v1.8.2, r6687
# Generated Tue Apr 12 14:42:50 PDT 2016 [seed=1460497370034]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	skyline
0	-10083.088551079136	-2507.3287283387767	-7575.759822740359	145.69302305993847	170.0	170.0	170.0	170.0	170.0	170.0	170.0	170.0	170.0	170.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0E-4	-7575.759822740359	-149.439433164975
50000	-7231.987301556335	-2468.5682158689115	-4763.419085687424	62.05899977366287	3019.7811734591846	1233.2023828372437	132.98705495541444	63.47007797999659	66.83954536226007	8.878393145647669	6.652007939834393	14.555099233200101	11.491415996162035	16.8630486698555	1.0	1.0	1.0	3.0	2.0	3.0	1.0	3.0	2.0	9.0	3.080374055080786	0.31511993226694657	0.21546725232498368	0.23427526586252562	0.23513754954554403	0.3219882219767074	0.003806025408152013	-4763.419085687424	-114.18961766595451
100000	-7203.007084534354	-2463.419548686806	-4739.587535847548	65.89483760784982	1759.9941208276418	139.14091740329718	145.6849043775805	36.32424594648009	38.028814216957194	28.571740939357948	13.36591806351933	10.14226302535379	11.290804258185242	17.032099757097267	1.0	3.0	1.0	5.0	1.0	3.0	5.0	3.0	3.0	1.0	3.811543311999377	0.3619868629722587	0.21056226139573128	0.22018375220904146	0.2072671234229684	0.28262326773194635	0.004568817107120422	-4739.587535847548	-111.63237147606074
150000	-7200.047601022965	-2465.804508300988	-4734.2430927219775	74.36789019423017	16078.921510031993	1217.267255389674	175.5603185496124	52.63687169386461	40.553681459899536	4.882087662442803	7.810736856834565	12.74423229075417	4.371058913418416	12.260459787979167	1.0	1.0	2.0	4.0	2.0	6.0	4.0	1.0	3.0	2.0	2.9928091287385765	0.3910384502811746	0.2150532424916277	0.20227008518195247	0.19163822204524514	0.33999580183467365	0.003196203908336734	-4734.2430927219775	-109.64942418055297
200000	-7205.808328878493	-2467.0804353783806	-4738.727893500112	57.10505869919849	2732.677540914577	202.6441581047313	32.85371287920591	20.099924567023567	45.96562631159206	54.842845035815515	41.586377727958	3.7414350287454297	8.678470600078997	33.01156513827717	1.0	2.0	3.0	7.0	3.0	1.0	4.0	1.0	3.0	1.0	3.5253385987553627	0.42854635998367946	0.17799695801681253	0.19955909823891446	0.1938975837605935	0.3022883446769129	0.0044272200945261065	-4738.727893500112	-111.10115595518197
250000	-7209.399546860586	-2472.725251962838	-4736.674294897748	89.32378614268627	2782.2116305695117	617.4038583567074	723.1371576915436	9.655407197907687	7.781990849082282	11.023989914813546	34.99081439973085	29.790651614439845	51.12967554470833	33.11228765274014	1.0	2.0	1.0	2.0	1.0	5.0	1.0	2.0	6.0	5.0	3.7870312657299703	0.41315747307142914	0.1818198164453102	0.19031403103231928	0.21470867945094133	0.3292490893696056	0.0029901645963451916	-4736.674294897748	-114.73918588787737
300000	-7205.618663270579	-2474.8754806258034	-4730.743182644776	70.40582723518736	3367.034549999909	745.652783134133	81.01071916729886	81.57079848552351	32.787639172775386	63.27409500674066	55.61457845945952	30.80448116383603	10.63964683816147	9.43545749829262	1.0	1.0	3.0	1.0	1.0	1.0	3.0	5.0	9.0	1.0	3.163037467779335	0.42202489336416704	0.16790662501561265	0.21239806286390836	0.19767041875631183	0.3749770270945571	0.003591923682922925	-4730.743182644776	-117.92305061631416
350000	-7194.5548661747	-2467.3239045333207	-4727.2309616413795	71.05224785101117	6295.7001035675985	201.35678782186775	81.2591189643007	58.98405064759634	26.420413645473047	42.05808612642025	12.083949209370479	4.054134387239792	6.21415973485467	15.340675767024967	1.0	2.0	4.0	4.0	1.0	5.0	3.0	3.0	2.0	1.0	3.6593145084662626	0.414687389942431	0.18763248695007542	0.19967976833899914	0.1980003547684944	0.32739949194303136	0.004602649533519401	-4727.2309616413795	-113.41532570619279
400000	-7182.374506510377	-2449.845527243867	-4732.52897926651	61.296691200592385	1171.890535724406	227.65665526586537	15.206101001505631	9.804787384849227	10.498895413684963	29.023598585583095	14.05554204486478	6.738450008407819	6.2828288584302925	25.157480870000153	1.0	1.0	1.0	4.0	5.0	4.0	1.0	1.0	7.0	1.0	3.268090331222031	0.3935349785186652	0.16911774723728215	0.23263125497437756	0.20471601926967503	0.28949968529366327	0.004944443531989961	-4732.52897926651	-100.55112724370402
450000	-7206.543789196889	-2471.6108372875533	-4734.932951909335	67.77953657865987	791.5856222387971	130.9504110544393	80.50457515320456	54.99199975254423	85.91781574951887	117.1123148315785	237.22160923989205	6.1664524956971425	3.6915270515399023	10.852319306093698	1.0	2.0	3.0	1.0	2.0	1.0	1.0	1.0	3.0	11.0	3.415466342427341	0.4052174352600703	0.17258529096943825	0.18938445482539984	0.23281281894509143	0.3582499039959287	0.00325306036702237	-4734.932951909335	-115.59105048661615
500000	-7201.655705115672	-2466.2694353434067	-4735.386269772266	68.56000211473372	1080.1488741913358	108.43613641479564	22.814866947710296	70.1064641302162	117.95157518971602	19.66743580303552	13.02714560606011	4.016044528679298	5.609006125653104	16.981318889369987	1.0	3.0	2.0	1.0	2.0	1.0	7.0	2.0	3.0	4.0	3.865470176649772	0.40296498691599497	0.17730925042273193	0.21021738593748596	0.20950837672378692	0.3123607507333561	0.004817479996197846	-4735.386269772266	-113.84956281738104
