# BEAST v1.8.2, r6687
# Generated Wed Dec 30 17:18:17 PST 2015 [seed=1451524696487]
state	posterior	prior	likelihood	treeModel.rootHeight	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	coalescent
0	-5478.276438823687	-245.2179012708381	-5233.058537552849	1.4461472308832453	1.3	0.0013	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0049	-5233.058537552849	-240.2107497520921
100000	-3095.7889585101266	-695.7097914087192	-2400.0791671014076	1.345849441983624	2643.183792688872	5.870290850434294	0.01539155462825227	2.8891384282028434	0.34374208485124486	0.15865826423477614	0.22478690968048587	0.27281274123349303	0.0051463246021384934	-2400.0791671014076	-685.7503764410336
200000	-3053.8405228642505	-727.5112804170512	-2326.3292424471992	1.8002274910379192	6256.59375300511	3.715945137396972	0.002907599667454608	3.370558651132374	0.4251681159509926	0.12035428712145474	0.18533571205823388	0.26914188486931867	0.005195154163161845	-2326.3292424471992	-718.5640276806174
300000	-3045.156817868808	-737.2096297339117	-2307.9471881348964	1.8567647377686236	3779.783994572016	2.965082518932328	0.004647982682643731	2.9015003584249026	0.41405522175884973	0.16354346752985433	0.1987804248156701	0.22362088589562568	0.0053574493899468485	-2307.9471881348964	-728.4678835146284
400000	-3108.806778168058	-796.1134947126498	-2312.693283455408	2.5248102037704445	314736.3492449647	2.7773564973761484	1.5374147469209956E-4	3.5100593211091002	0.4106344923123535	0.14944702060457257	0.1898759067767508	0.25004258030632304	0.003418237449965071	-2312.693283455408	-783.8695799843109
500000	-3000.1454729420675	-708.9340571315481	-2291.211415810519	1.8473328944648053	1394185.1198316286	3.541706230224115	9.534600903727656E-6	2.6444437406672403	0.3995000164199974	0.152777746044675	0.1647357792538162	0.2829864582815113	0.0050033933663964445	-2291.211415810519	-700.6664304989413
600000	-3031.7870676408907	-751.4770362256526	-2280.310031415238	2.014272692105006	1456357.4506507898	2.947829370375658	1.4639531466433155E-5	3.204930034356351	0.4110399890565828	0.151677567861804	0.19333449490868176	0.24394794817293156	0.004509653995428794	-2280.310031415238	-742.4739788558429
700000	-3097.4374125031627	-815.137360144636	-2282.3000523585265	4.6999912231481815	6372028.222868754	0.7274867474141713	2.5644521202434035E-6	3.411800076816528	0.4082173679270582	0.15043004212957048	0.1867818549897733	0.2545707349535982	0.0036473672309888503	-2282.3000523585265	-805.1119829182605
800000	-3045.593430506478	-760.2612744570355	-2285.3321560494423	2.2179204140751474	580311.1297068524	3.053295103428157	4.026024388560141E-5	3.1394105598446567	0.41874058701696915	0.14946740289498295	0.1925077954504682	0.23928421463758007	0.004467438254670683	-2285.3321560494423	-751.1299232212968
900000	-3054.871145099826	-758.0481888038795	-2296.822956295947	2.3431053241698594	1.1990077193615733E7	2.0974281902693668	1.2819039211953706E-6	3.1451326627545373	0.42592247888984186	0.13845378295634217	0.19458065609406883	0.24104308205974742	0.004765805685580974	-2296.822956295947	-749.7104107374755
