# BEAST v1.8.2, r6687
# Generated Fri Dec 11 16:09:15 PST 2015 [seed=1449878953682]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
0	-24302.579084760757	-17741.364834672233	-6561.214250088524	198.21359788206885	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	19.0	19.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0049	-6561.214250088524	-15431.690422286327
100000	-5522.938763966878	-3011.7181099541344	-2511.220654012743	3.8969692523002184	139.46609089735358	203.23026482528994	688.3769334449643	87.72066007606348	24.696511415456378	16.183126208478047	8.875591613973949	24.446024796367016	1.6840360955318003	0.544460024433739	10.0	2.0	3.0	17.0	20.0	18.0	53.0	18.0	36.0	21.0	3.198266162988217	0.3196599857385365	0.18127211492163534	0.21441294348276368	0.2846549558570643	0.004433892964023194	-2511.220654012743	-665.2681809315449
200000	-5316.734476941498	-2939.035104634046	-2377.6993723074515	4.5971529078386295	199.26129584322146	40.42372950425217	18.242501984688563	7.902084932485862	3.8994842924794137	9.26724119845673	13.855424041104786	1.3756075468293618	1.1870768606407498	0.6731362788068661	13.0	11.0	16.0	13.0	31.0	22.0	43.0	15.0	28.0	6.0	3.9497971193878376	0.3877576851371974	0.16293417904248195	0.1993210964107307	0.24998703940958994	0.005825057677656258	-2377.6993723074515	-606.3893043825229
300000	-5372.447860414301	-3028.4979218873386	-2343.949938526963	3.1202691975963868	91.95392629159755	52.393523813379325	47.352172165694334	6.797306880830596	15.861918725413473	30.457177867263727	16.490264102497047	9.69986683748162	1.2680728196790811	1.2402289735152345	19.0	19.0	8.0	31.0	22.0	2.0	41.0	11.0	42.0	3.0	3.229731590516513	0.43107252949587654	0.15968505863014906	0.1689647118105121	0.24027770006346205	0.004518988767642891	-2343.949938526963	-691.43737741922
400000	-5284.45473507703	-2977.1166829517224	-2307.3380521253075	1.8518247931667053	86.45375437529785	85.9538332151531	16.434847518466533	3.803044602028119	12.418125932536125	7.767955785864666	20.24163281573735	3.7873435883337976	1.461496658731688	0.6991361557867906	7.0	41.0	1.0	23.0	37.0	21.0	7.0	24.0	22.0	15.0	3.3929678077827776	0.4134599637499935	0.1495301968122116	0.19221835746001822	0.24479148197777653	0.005518434839985601	-2307.3380521253075	-642.3696953449968
500000	-5306.513152294234	-2994.229359578552	-2312.2837927156816	3.333311867505085	90.70831958232006	50.55940323158535	5.73401248677628	8.493627992152826	8.860424108814243	16.07355025246326	25.657174459946766	4.083628509192172	1.9895273393637156	1.3522272922157754	7.0	51.0	4.0	23.0	16.0	5.0	9.0	34.0	16.0	33.0	2.6305218932649437	0.4264884527310912	0.13371030423169153	0.19397234031023683	0.24582890272698005	0.005001415525918564	-2312.2837927156816	-660.8706929765748
600000	-5250.353535831945	-2938.5432705377934	-2311.8102652941516	2.929001284377471	112.71975808404547	153.5505632806019	27.057739239147757	6.337239773848866	23.01397035795266	8.569144003958856	6.661600706547267	4.109827938963452	1.6041322693744198	1.1780213272456157	4.0	16.0	19.0	33.0	14.0	26.0	15.0	23.0	11.0	37.0	2.799914041996966	0.43778101230138716	0.15898808014123922	0.1697420113340978	0.23348889622327565	0.005577086162500204	-2311.8102652941516	-602.6894240662754
700000	-5327.762996615409	-3038.746179104644	-2289.0168175107647	4.043338921215342	143.01292625767658	56.651504825257746	15.089108077792833	14.941282808829051	16.37027862221169	14.78263677854063	7.615405216265481	9.402653967105405	27.937409913561083	1.5038197040489225	22.0	30.0	44.0	13.0	3.0	3.0	13.0	9.0	9.0	52.0	3.017580984654539	0.41231620736521046	0.15166187008236087	0.17019680948914323	0.26582511306328527	0.0045665146133175094	-2289.0168175107647	-699.2794690359916
800000	-5310.087058262159	-2993.4775937864238	-2316.609464475736	3.1931305362961964	97.15172866210933	109.2611536562514	55.15236345380673	35.3672960758957	58.31532915809079	9.475934254442125	14.638011283104227	4.3551624204379085	2.922048185136505	1.645775586208384	35.0	10.0	11.0	1.0	11.0	8.0	2.0	61.0	20.0	39.0	2.9845729541746246	0.4052665983467516	0.15548137738092802	0.1996801596167323	0.23957186465558786	0.0042015288512165195	-2316.609464475736	-654.3604881787267
900000	-5264.462047673775	-2975.516149014781	-2288.9458986589934	3.2957521480052376	50.93129751007472	75.04025502688677	13.189226034479649	2.610460175740044	5.422706735052172	4.095583910318828	4.920540369198223	7.711166866524424	1.3564177170597675	1.5629711479133173	18.0	43.0	21.0	11.0	5.0	8.0	30.0	15.0	6.0	41.0	3.587545310966028	0.4400507476091088	0.12962628348349745	0.19541850667687544	0.23490446223051806	0.004337413934751106	-2288.9458986589934	-644.978034103884
1000000	-5251.575727338428	-2959.2207538971625	-2292.3549734412654	2.07462064226818	272.4537129844084	23.489927942802098	16.600137120122586	8.908915941511928	5.882665553877629	2.8674878261595373	3.011791209537348	7.539802781484173	3.144254970231884	0.5865786207958894	7.0	54.0	45.0	18.0	8.0	1.0	6.0	9.0	6.0	44.0	4.478757127769768	0.40723747152599266	0.14472967624708993	0.18492156602349183	0.2631112862034252	0.006378447284062689	-2292.3549734412654	-624.7650535024428
1100000	-5322.37142480414	-3034.815000377526	-2287.5564244266134	3.2234430214816396	56.266044375420606	57.150714171173526	22.180745238279	17.335363938723926	32.89834419892307	10.233567083514062	13.916000617588868	13.737846341976509	8.029313421363568	1.5650396692134128	7.0	37.0	19.0	29.0	20.0	26.0	1.0	5.0	7.0	47.0	3.46044453324697	0.41289657047689243	0.16859267010405232	0.1900763537163966	0.2284344057026585	0.004569308749758618	-2287.5564244266134	-697.3616873210041
1200000	-5198.248710414246	-2909.8752082759997	-2288.3735021382454	2.135176806789712	1380.9980922336133	20.839662040778922	12.073377883820218	9.409393854074494	2.3822108174243413	1.53225618746194	3.6237936216577014	4.953872352048816	3.6021796420203325	1.141045309137314	2.0	22.0	95.0	5.0	21.0	5.0	10.0	9.0	7.0	22.0	3.0902079176947947	0.41911644691136957	0.12860613783004674	0.1923925827137088	0.2598848325448749	0.005418727102599737	-2288.3735021382454	-576.3791299001997
1300000	-5253.7749299049465	-2948.803684681526	-2304.9712452234207	3.9041004165515143	405.9846757328223	11.490145917535537	19.199611658459723	42.16297787639461	7.27894692319979	11.97947337726529	6.166449487983791	22.065148880948417	3.9009041918561302	1.0783806619935699	8.0	1.0	66.0	5.0	25.0	6.0	9.0	14.0	18.0	46.0	2.4320228890385898	0.42387645423042114	0.14017343098050822	0.1901169009017047	0.24583321388736618	0.004685697937652872	-2304.9712452234207	-608.3733775859707
1400000	-5230.644846781485	-2936.2223001753855	-2294.4225466061	3.4999787222097827	597.9526082123324	14.371632626937636	14.194925804498109	26.113519070471156	3.390527350950119	5.288251939695497	3.888308273456037	7.364375695578661	7.265141432064618	1.6304095897197928	2.0	3.0	50.0	24.0	1.0	12.0	36.0	23.0	20.0	27.0	2.961276904804578	0.40094703349419025	0.14160207327568605	0.19109088742861458	0.26636000580150926	0.005452825574855619	-2294.4225466061	-599.4988592024057
1500000	-5256.397466656158	-2952.107190422596	-2304.290276233562	2.600530791407426	105.81922515865982	68.76415952045409	77.14854917289243	52.555743459700864	2.7549284241568666	2.760129179330132	4.4038225507229525	8.4456141502628	3.846023656560888	0.8306020675355053	12.0	5.0	34.0	4.0	11.0	21.0	28.0	43.0	8.0	32.0	2.6158697331071386	0.3946738637572271	0.18451222736562864	0.18410523415307387	0.23670867472407062	0.005063988920874905	-2304.290276233562	-617.2452410325259
1600000	-5246.439538237765	-2953.430227087289	-2293.009311150476	1.504746084417467	107.64885645547999	169.9481673911354	29.41516736942892	10.277801204705426	26.923339806032732	5.797995091405909	5.310839163470267	9.771532444752976	0.6669635165892727	0.20969179477612682	23.0	2.0	34.0	18.0	5.0	26.0	20.0	33.0	33.0	4.0	2.7892137400586585	0.40826765330268416	0.15594812482203935	0.18696759429115464	0.24881662758412215	0.005573500137780086	-2293.009311150476	-617.7019900234275
1700000	-5274.292490502397	-2986.6775325482768	-2287.614957954121	3.3044914627045623	70.06052111069683	22.865293658688216	17.77609572842264	5.968424945027245	14.42155818701259	12.246692770413391	12.084466195786144	1.7280003942859545	2.7014265275502343	1.322468006258107	44.0	9.0	28.0	17.0	8.0	13.0	15.0	14.0	40.0	10.0	2.71659880998295	0.4027313682311572	0.14969727244580044	0.18520296090640923	0.26236839841663334	0.0055748033897010715	-2287.614957954121	-654.4610610583691
