# BEAST v1.8.2, r6687
# Generated Fri Nov 11 13:51:56 PST 2016 [seed=1478901115769]
state	posterior	prior	likelihood	treeModel.rootHeight	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
0	-5027.904488097423	-258.11103417307913	-4769.793453924344	4.432956138489725	1.3	0.0013	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.0076556	-4769.793453924344	-259.4927101790419
100000	-3044.1877727228884	-647.30808549132	-2396.8796872315684	1.102489216744496	509.46041768710603	8.960206093633072	3.90734683918115	0.36170168217586113	0.16941389193796733	0.1982720193736261	0.27061240651254553	0.07812995325479946	0.00782285955206069	-2396.8796872315684	-641.5798493032025
200000	-3013.596261353734	-669.1872512058578	-2344.4090101478764	1.1337561258386057	1334.9281664158366	9.012744105479943	2.394765908078824	0.40193081775949235	0.18172177882930265	0.18852070413448616	0.22782669927671892	0.1442067168892612	0.006014759305479887	-2344.4090101478764	-659.4122835150318
300000	-2988.2502015637033	-685.777802743984	-2302.4723988197193	1.343650414833582	141.43269625432572	5.76520232384562	3.7931203329091727	0.40829146093800345	0.1912345249729006	0.17644712066925128	0.22402689341984458	0.2071989232967174	0.007213551695475787	-2302.4723988197193	-681.3421113588934
400000	-2897.464530181979	-591.9177104599353	-2305.546819722044	0.8067720600150788	338.9602875683016	11.054310599964165	4.153886964006414	0.4184698676322599	0.1378065598655149	0.19298859936376495	0.25073497313846	0.0708460571944809	0.008196847348771259	-2305.546819722044	-585.8942079202735
500000	-2882.7645995217053	-610.6923563626071	-2272.0722431590984	0.8870811863764217	1427.189384704398	12.973750875486061	3.316906735055125	0.41423405168043154	0.14401377237344545	0.1857323811356399	0.256019794810483	0.1367052950096712	0.008096067160359101	-2272.0722431590984	-603.2273803618743
600000	-2942.2064023497906	-687.2886770618528	-2254.9177252879376	1.3462202841796314	200.36677279310123	6.092928572953565	2.3144099686055704	0.4014243413429498	0.15809906261796375	0.19296604077737128	0.2475105552617149	0.19362225494172844	0.007442986405233548	-2254.9177252879376	-683.2024799657853
700000	-2946.860124963964	-701.8263348749631	-2245.0337900890013	1.7675189368645259	64.32614613138746	3.879076029751321	2.9509259574103703	0.4021042366250009	0.15732288598256777	0.18494384053283505	0.255629036859596	0.18248344272002856	0.006587579543507481	-2245.0337900890013	-697.5473526084414
800000	-2918.323894425544	-666.0919536679475	-2252.2319407575965	1.3732583787700712	124.89359793935252	6.225848433458682	5.489462756186509	0.3984945259844489	0.18752909011850508	0.18826430569195424	0.22571207820509162	0.14538507308377605	0.008626790093626891	-2252.2319407575965	-660.3730064798665
900000	-2939.5776318346916	-646.157578228818	-2293.4200536058734	1.1062235270565384	183.52456532453309	7.545663290414184	2.962108443652668	0.414079968420866	0.16134625388785095	0.18709532388497777	0.23747845380630503	0.17696534897384206	0.006838565320676329	-2293.4200536058734	-640.9359988375758
1000000	-2961.892678914812	-692.9383467715875	-2268.9543321432247	1.58119439207311	122.7816360841525	5.095555707715767	2.6750179378512735	0.4095945374630314	0.14994193212075527	0.19331204953056785	0.24715148088564518	0.18136463158679075	0.007117497473922136	-2268.9543321432247	-689.0523029799427
1100000	-2898.1881520808233	-652.1097108215521	-2246.078441259271	1.0850961703636393	251.0531646223597	7.609165777389328	2.5196373151044016	0.40415908825488744	0.18145902852735887	0.18764693359646448	0.22673494962128918	0.12337510587353474	0.007380622954113627	-2246.078441259271	-647.6063510802041
1200000	-2933.4304318404447	-657.5950544904467	-2275.835377349998	1.1314021397729883	175.5752683905499	7.223164592650363	2.890811207556583	0.4428375429655415	0.14595878046295796	0.20790977543666447	0.20329390113483597	0.12812002664300942	0.007826898142901243	-2275.835377349998	-653.4177603644526
1300000	-2895.8940235302075	-644.5216939981539	-2251.3723295320538	1.3607650683830124	95.6197924311993	6.222506163084191	2.7182477961191145	0.4047660560645931	0.18599893790925678	0.184219110738319	0.22501589528783106	0.11731760128901444	0.007838186832830812	-2251.3723295320538	-641.1724893301729
1400000	-2869.0171115462194	-609.228206698784	-2259.7889048474353	0.956115220450171	196.9582953016586	9.136993778776631	3.945474898755899	0.42916130316773626	0.1542798370955905	0.16932196757411852	0.24723689216255484	0.07856861845970552	0.00784046798259125	-2259.7889048474353	-604.4044282219231
1500000	-2880.391055880965	-627.9165366802496	-2252.4745192007153	1.2031224783016212	100.0300826025208	7.052770928127648	2.705986136444373	0.416600500995404	0.17656263920793436	0.15425126794662714	0.2525855918500347	0.11913024052885922	0.007862855706186792	-2252.4745192007153	-624.3934153455564
1600000	-2893.668208489148	-610.8184827049389	-2282.849725784209	0.8981892861624678	289.8552893286789	10.12010389740471	4.186840088795985	0.44819108852176937	0.16503772884910858	0.1728385621990877	0.21393262043003478	0.15039409129363118	0.008011683732920768	-2282.849725784209	-605.1305984148868
