# BEAST v1.8.2, r6687
# Generated Thu Jul 28 13:15:41 PDT 2016 [seed=1469736939788]
state	posterior	prior	likelihood	treeModel.rootHeight	constantExponential.popSize	constantExponential.growthRate	growthPhaseStart	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
0	-302733.66106504895	-299535.38096555625	-3198.280099492684	120.12054794520554	1.3	0.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.0038278	-3198.280099492684	-299534.46023995866
100000	-3098.311923622084	-882.2269596623786	-2216.0849639597054	5.408946015233926	93.84301678752122	1.0955112203074613	9.428507346961817	3.385965322388723	0.40339144392147674	0.14725845228872123	0.18526008552230633	0.2640900182674958	0.15540454453787678	0.002732181267957361	-2216.0849639597054	-875.4862039519318
200000	-3036.2781129314653	-793.7987095158294	-2242.479403415636	2.231448494925625	157.7964465341342	3.0814056737380073	4.39696143913623	4.135405379169538	0.40198472130222473	0.14224740142622322	0.19308385051889304	0.2626840267526589	0.15296621250811063	0.0036019989577698985	-2242.479403415636	-787.5191275077663
300000	-3070.4343178527683	-790.3846813014248	-2280.0496365513436	2.125418183296781	356.4489527081716	3.9758226297438997	2.30447602857131	3.228261121818513	0.4019150955311867	0.16119563868169218	0.1991760494487882	0.23771321633833264	0.061201324225603565	0.0032277507612823186	-2280.0496365513436	-783.2394402250619
400000	-3067.095922762704	-812.5502086478059	-2254.545714114898	2.6281941650876663	176.32365673521633	3.016127706221419	8.80166860100322	3.3066581444140777	0.4288748406154407	0.13988458771967574	0.18952276739468044	0.24171780427020287	0.053348874550002555	0.0030120905294182525	-2254.545714114898	-805.8354864192809
500000	-3000.772422394757	-721.949668681866	-2278.822753712891	1.456462978323807	586.1307687891377	6.448459764844385	1.439566996930635	3.8018449196210145	0.4393546480151911	0.14342012416726338	0.17580453317986766	0.2414206946376776	0.08061666540874288	0.004191545386152309	-2278.822753712891	-714.0257945498486
600000	-2980.9807779043454	-698.8572904496106	-2282.123487454735	1.376754768302181	452.40658658167325	6.852592202099842	7.791619299875763	3.3137309005164464	0.4436844221587524	0.15291463172340472	0.16377673440855434	0.23962421170928838	0.11840310984899487	0.0052735956317697405	-2282.123487454735	-688.6702556218805
700000	-3017.5135367034845	-706.7017900648076	-2310.811746638677	1.4283252862758966	707.4739640913039	6.842223801270873	1.6028297297584988	5.151626764541742	0.44264881406488527	0.1549734720013316	0.16921832580668458	0.23315938812709838	0.07360843422128893	0.004095246289880923	-2310.811746638677	-698.2287682993456
800000	-3029.5494092082645	-729.5837011032271	-2299.9657081050373	1.6454653936385881	275.7682144345965	5.196930772096074	8.210690773607675	4.1060917672987305	0.4248328027742731	0.15176146888654712	0.17756102369226387	0.24584470464691574	0.10442780837337814	0.0044414702693226765	-2299.9657081050373	-722.1292396998388
900000	-3015.014099972597	-738.5318677987296	-2276.482232173867	1.6403359221213667	245.5565380605852	4.917081213529472	1.8811415908637563	3.354133325317304	0.4422342175239933	0.12913820706952506	0.1753500587363822	0.25327751667009935	0.14411964440797737	0.004111189860123562	-2276.482232173867	-731.7820552812726
1000000	-3046.892644694466	-781.0923565538907	-2265.8002881405755	2.092121509560864	168.80815194231886	3.474087110173072	4.0640098601377765	2.802060969724598	0.40725455653516657	0.15224867547526513	0.19620220744291064	0.24429456054665757	0.036730311061195	0.004283229023495385	-2265.8002881405755	-775.1638811525455
1100000	-3077.9958358415893	-831.371129055798	-2246.624706785791	2.6549286592613623	230.48551818211595	2.824645805285453	7.048388197216735	3.1558112967514615	0.37382286701429035	0.1524459366152432	0.21170407959569887	0.26202711677476725	0.13551836813567836	0.003621445002404601	-2246.624706785791	-825.1142958786164
1200000	-3002.4853727085756	-746.278229816233	-2256.2071428923427	1.8184757758279384	123.78971390999322	3.780031260425554	2.1757897811192866	2.882594081963706	0.4274117926420613	0.1545148864674203	0.19497981600681294	0.22309350488370494	0.17004424834532283	0.005259924931563786	-2256.2071428923427	-737.9196709766417
