# BEAST v1.8.2, r6687
# Generated Tue Jul 19 10:48:47 PDT 2016 [seed=1468950526748]
state	posterior	prior	likelihood	treeModel.rootHeight	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
0	-5205.20335872203	-247.6713634978686	-4957.531995224162	3.6764724395954964	1.3	0.0013	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.0038278	-4957.531995224162	-249.05303950383137
100000	-3502.247608024668	-1069.8588019367246	-2432.388806087943	7.736750239299245	3971.047264549334	1.2585812345212026	2.7699420644425086	0.33684429547074296	0.18080599735629316	0.18435879159309468	0.29799091557986906	0.11482649547927906	0.0010587341393508167	-2432.388806087943	-1053.525804871954
200000	-3364.2169331167333	-1026.1725685540034	-2338.0443645627297	6.671649232754178	1179.0762615227113	1.3258800150325074	3.7910183446981778	0.3889095495395733	0.17565378881518268	0.17897002467230966	0.2564666369729342	0.116569504134604	0.0012331860704588582	-2338.0443645627297	-1011.9105707231623
300000	-3217.790206413221	-912.4723484142972	-2305.3178579989235	4.046573769661246	244.2376010280633	1.7809225246314664	3.659246453405307	0.42777972899262606	0.1477576720034776	0.19603143027114622	0.2284311687327497	0.09912387515168844	0.002190557557447369	-2305.3178579989235	-905.075032634565
400000	-3056.2755822076706	-783.057839319652	-2273.2177428880186	2.185033403250053	117.81407258984984	2.790820806352463	2.243557320754694	0.39475812742584754	0.15313210788532075	0.1873042697726514	0.26480549491617966	0.13117913176106136	0.00421047894804215	-2273.2177428880186	-779.9893638978436
500000	-3083.5944666443406	-800.5462426034252	-2283.0482240409156	2.8733301231580306	99.75634669936892	2.211479967868769	3.0699121284302255	0.4288697295544237	0.1321509090936303	0.18657284938446506	0.25240651196748026	0.10438598030580282	0.0037573928470164804	-2283.0482240409156	-797.6572594410868
600000	-3094.730895154603	-819.8455725945229	-2274.88532256008	3.058849703529217	130.08940396049255	2.5606526391702173	3.119166116320331	0.42587132467583905	0.15758492560551285	0.1811124871240278	0.23543126259461974	0.10884338086058344	0.0038740426677099163	-2274.88532256008	-816.6193336814043
700000	-3149.9001367682204	-838.3226957603413	-2311.5774410078793	2.6291640434351264	340.7029441378798	2.9143164777171764	3.025214576317803	0.40963953600502556	0.1559301387704243	0.20658445137296952	0.22784587385157995	0.15229896854259312	0.0034685402309033854	-2311.5774410078793	-833.8644858546614
800000	-3065.5558203786713	-772.6740986691531	-2292.8817217095184	1.875718257241479	338.06725701117097	4.478118258129009	2.903320690895944	0.4161661704160339	0.1528470893906757	0.16662178050570242	0.2643649596875872	0.09888665311867273	0.003581178977699334	-2292.8817217095184	-768.242049427743
900000	-3042.274150510333	-763.6613606929784	-2278.6127898173545	1.8567644735343911	343.4341101755593	4.574723692237998	2.831442601795723	0.4155720953513036	0.1572073338694275	0.19087898874796203	0.23634158203130612	0.13491480141468395	0.0044048848690857135	-2278.6127898173545	-758.7992371596004
1000000	-3071.475056136033	-789.6302471846494	-2281.8448089513836	2.2587520146966606	388.4296990693896	4.05519366754535	4.576493068842318	0.4000653689803009	0.17519949431728937	0.17084756691554773	0.2538875697868614	0.15296377316120405	0.0041385397678995245	-2281.8448089513836	-784.4237924973648
1100000	-3023.0065496168104	-752.3136955596827	-2270.6928540571275	1.8626185218985603	134.44413250028575	3.8656282937418096	2.5536450637917723	0.4028207491437249	0.17538623003969023	0.17998302467004268	0.24180999614654147	0.1499621508248278	0.004579403030366793	-2270.6928540571275	-748.2599254650629
