# BEAST v1.8.2, r6687
# Generated Tue Apr 12 14:45:37 PDT 2016 [seed=1460497536746]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	skyline
0	-4318.2262190512265	-2504.061075990569	-1814.1651430606573	200.81731440148403	170.0	170.0	170.0	170.0	170.0	170.0	170.0	170.0	170.0	170.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0E-4	-1814.1651430606573	-146.25623032329895
50000	-3699.3856166744463	-2456.69501567544	-1242.6906009990064	25.731226131795644	387.7522464015625	455.62795352554593	179.3367712457232	80.35216274279227	35.20937995783616	42.78409266907642	18.92017417866402	8.518786505484721	4.925019622307771	2.4063616326033026	1.0	1.0	4.0	2.0	4.0	1.0	2.0	6.0	4.0	1.0	4.835928725685526	0.3130465898057619	0.17447499456119	0.25394430422244224	0.2585341114106058	0.12822544842929473	0.0019183989618989194	-1242.6906009990064	-109.31562080151383
100000	-3671.4969421621863	-2444.186550923446	-1227.3103912387407	34.67421202008626	845.2815773832243	794.9398802151511	55.65339710864904	5.780107263471025	14.252600174055676	5.028324788166101	5.608379197805614	4.543393976383517	6.213952910380847	6.310039589302507	1.0	2.0	2.0	4.0	6.0	6.0	1.0	1.0	2.0	1.0	5.2071916689027935	0.34524754360245435	0.16987914812490768	0.24948528554457167	0.23538802272806617	0.12445090847039228	0.0010958432035793695	-1227.3103912387407	-100.99266093845276
150000	-3688.859193243199	-2443.1902814452337	-1245.6689117979652	23.270389130685952	335.4224283501814	45.2166813400263	64.14179398805204	62.286490363947934	11.757867877746868	13.64976176832799	11.349044366105097	6.7701994154883804	0.9229245345853389	1.3241153462465813	2.0	4.0	1.0	4.0	3.0	1.0	2.0	6.0	2.0	1.0	6.83768688132702	0.36642438247772485	0.16231107426561953	0.24394889837204975	0.22731564488460565	0.07678629948786866	0.0016854271954723598	-1245.6689117979652	-102.82385645085961
200000	-3676.8948884390365	-2450.8722874220466	-1226.0226010169897	24.458168323718013	321.0693436593515	443.43683724863854	608.9159340874398	127.98817839332308	38.59777641895342	52.41583605267697	7.9468657347941445	8.574923394157036	6.845958675840774	1.3819534059656375	1.0	2.0	1.0	2.0	5.0	1.0	2.0	1.0	9.0	2.0	5.568343366709141	0.37799582650455155	0.16754223809304344	0.22200286611093714	0.2324590692914676	0.030246903696403465	0.0016324821479850714	-1226.0226010169897	-101.37853645354078
250000	-3687.631566510062	-2451.926309666458	-1235.705256843604	39.62000037225626	556.0966054334335	149.87359583104654	45.358151638545415	17.444414971693785	20.478194151558256	15.538375514315321	35.335483235536294	13.555412216280853	4.657713780636825	5.879010532975497	2.0	3.0	1.0	1.0	3.0	1.0	4.0	1.0	4.0	6.0	12.390497608754739	0.3968518600412607	0.15534969841662782	0.20550027930341405	0.24229816223869713	0.020635943229662446	0.001550865344572306	-1235.705256843604	-105.6966095872052
300000	-3700.5835089407824	-2471.3141199691045	-1229.269388971678	63.80187131725496	2929.5419486659753	69.08878842145698	112.7100026826513	22.521760536359963	14.830024099299324	42.155315000450884	21.602378083788174	7.489461866919071	23.040097237700603	16.94839484201057	2.0	1.0	1.0	4.0	3.0	1.0	4.0	1.0	8.0	1.0	7.170174315475776	0.41260533068226785	0.16555948325282926	0.20114380198653778	0.22069138407836467	0.07772651004476674	7.805287587959573E-4	-1229.269388971678	-118.85225567555197
350000	-3687.027542823026	-2462.912847609098	-1224.114695213928	42.83399656620629	5270.67012106269	888.6724927942184	160.31937960374785	128.5199979461455	11.568391907311081	9.211950361747379	10.932706372289218	14.654425670459712	26.705003676290282	15.48955590161497	1.0	1.0	1.0	2.0	5.0	1.0	5.0	3.0	2.0	5.0	5.32153220450209	0.406489355535698	0.13100292286785323	0.2545135531675213	0.20799416842892704	0.06801180112635254	9.640374279593268E-4	-1224.114695213928	-109.57605619312235
400000	-3689.8365006773056	-2461.64786773061	-1228.1886329466959	27.85545641524055	492.90967511592993	47.04538520460361	191.38890089322607	136.7028750941306	262.43097671862824	43.516731162909466	23.98709236067602	4.864055327367434	1.182206161450484	1.0281766952104567	5.0	4.0	1.0	4.0	1.0	1.0	2.0	6.0	1.0	1.0	6.529716102582788	0.4276063772218517	0.13602667212756836	0.23846007420080673	0.19790687644977273	0.0795834392407002	0.0010446067851307252	-1228.1886329466959	-112.23541519243956
450000	-3690.3952825954757	-2464.4571333185577	-1225.9381492769182	29.441590506387172	6156.162820268444	686.4005788615132	93.83983950414937	64.74389218744253	116.7912613088522	92.7906792440117	16.26928497866266	20.009549487915272	2.6710217042991955	0.7232139717107627	2.0	1.0	1.0	1.0	1.0	1.0	11.0	3.0	4.0	1.0	6.37440978802993	0.4268540751782054	0.12389311384493029	0.23793212987527773	0.2113206811015861	0.06974250429928862	9.401718605283118E-4	-1225.9381492769182	-110.61829983565725
500000	-3686.1813157826437	-2453.323346329355	-1232.8579694532884	25.487864411452993	431.8108543092116	136.71358096804818	176.28433563019044	31.142362959457575	9.89650208678038	21.30207847018906	25.171676538107942	15.231925618690134	6.510827005572957	0.5210540532057792	2.0	1.0	1.0	1.0	3.0	2.0	1.0	8.0	4.0	3.0	5.339398119382077	0.4306952250171272	0.15795534699501054	0.22301599735368152	0.18833343063418015	0.025567213744231307	0.0017178281283891878	-1232.8579694532884	-107.9791687401269
550000	-3662.059392941338	-2433.5353928644176	-1228.5240000769204	22.045253991219994	949.7839182647185	131.57299253036194	56.93607312743518	40.25971072542764	50.574677960179926	11.705316423639994	3.1232031985101716	1.6556575275483782	1.7941100506338081	0.9749487842682937	3.0	2.0	2.0	1.0	3.0	5.0	1.0	1.0	6.0	2.0	6.104716378132193	0.4266230175139977	0.13741825889231266	0.21964301252870866	0.21631571106498027	0.025636339900996653	0.0010289541470031582	-1228.5240000769204	-93.686661134377
600000	-3719.726315567388	-2489.669603991562	-1230.056711575826	42.06003818822966	1688.4845288087217	427.00212876354226	100.7596963465274	66.63153373655484	253.39591687750965	269.3292420845337	62.8667859494989	22.654211441559614	24.03315499150189	26.930139466296925	1.0	2.0	1.0	1.0	1.0	2.0	1.0	4.0	12.0	1.0	9.518185627330354	0.38781759430331236	0.14868816576521357	0.22538154150446105	0.2381126984270123	0.03456905566648612	7.9655334331736E-4	-1230.056711575826	-129.4162538866823
650000	-3686.9551505952604	-2454.7418299308224	-1232.2133206644382	26.92669869665885	309.92935520271647	189.81999081914418	83.10186541279279	48.149515417980325	36.585568361500314	23.440388656009375	9.181407236507289	8.762001954479093	4.016518458287067	0.321039534443818	3.0	2.0	5.0	1.0	1.0	4.0	6.0	1.0	1.0	2.0	11.652061692605523	0.42149131777461446	0.15107226535561363	0.20615101850948972	0.22128539836028172	0.04185301586812293	0.0010948896540374708	-1232.2133206644382	-111.40743727186545
700000	-3694.1422382048686	-2458.1789158542583	-1235.96332235061	30.240336774752635	3008.176272522109	1325.9061991689778	101.85614574039784	21.126213348823182	93.1363455389402	16.029791979291197	7.019460478653685	3.5039209537929263	11.036066477325301	6.0116645495731715	2.0	1.0	2.0	4.0	1.0	4.0	3.0	1.0	7.0	1.0	6.505588503093971	0.41150277976022065	0.1445408144036345	0.21300269983924927	0.23095370599689502	0.17134860755066705	0.0014978813414833877	-1235.96332235061	-104.0389234719122
750000	-3706.266138123953	-2467.8992538759335	-1238.3668842480197	31.98825705240403	2252.139654554974	112.8716933866309	73.8030351257822	34.43080564738033	21.630674576257146	28.759399356840042	17.107824980489717	18.007060285938213	9.907128182477042	9.785568468112961	2.0	4.0	5.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	7.101205049678721	0.40706478361124676	0.18421737717906522	0.18778799005380384	0.2209298491558835	0.03078447367346497	7.390181781292519E-4	-1238.3668842480197	-119.51032455307237
800000	-3707.305361139801	-2476.5676033956133	-1230.7377577441875	43.12662643705928	834.5303820093146	245.84063214694126	173.28752753477883	34.70303050527616	28.718414910653767	16.37752736764094	35.64348436752913	19.673452764343345	12.136247582483815	10.508031137229809	2.0	1.0	6.0	1.0	3.0	5.0	3.0	2.0	1.0	2.0	5.987210274627859	0.4509361105375153	0.144768631960115	0.17738234254855303	0.22691291495381594	0.04615452367729674	0.0012188729654947059	-1230.7377577441875	-127.07172198032941
850000	-3699.222772745622	-2478.3894247969206	-1220.8333479487017	41.9289704405399	556.1068179444951	1248.6511000574894	145.10201271104773	44.45799546486958	96.49899654606939	57.10721604181534	30.34568523755756	21.971137259100473	10.204325679312115	0.23566874736279234	3.0	1.0	5.0	4.0	1.0	1.0	3.0	2.0	5.0	1.0	6.202461807898956	0.4444224142692931	0.1409560341633734	0.19645409458555532	0.2181674569817775	0.1405934964916826	8.877672180882646E-4	-1220.8333479487017	-125.4640065703575
