# BEAST v1.8.2, r6687
# Generated Wed Dec 09 10:39:01 PST 2015 [seed=1449686340227]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
1000000	-6625.547854957435	-4299.4862016903335	-2326.061653267102	808.5473515061814	70174.21722189913	58620.34719176822	24912.870913164694	21249.657698201292	26213.191151991356	5355.6175066822625	1769.59043659741	1795.334018377513	382.61428634524833	73.56138029102111	15.0	16.0	19.0	3.0	12.0	72.0	37.0	3.0	18.0	3.0	2.7141661162958597	0.4047065186292433	0.153806961230396	0.19782474155665644	0.24366177858370386	1.204122508780274E-5	-2326.061653267102	-1908.3983405215724
1100000	-6584.582983587305	-4262.563354506487	-2322.019629080818	1844.4304836549331	99000.25292777838	118750.5631949028	21747.66979256452	2484.820082892238	2361.9632350908264	8364.302351703003	3213.210395990119	3880.191349930742	2306.9276032615053	448.64462888080266	11.0	12.0	3.0	7.0	18.0	68.0	4.0	8.0	53.0	14.0	2.521528494743461	0.41056649965961955	0.15202052238333205	0.2133829168362428	0.2240300611208051	1.1813504665695393E-5	-2322.019629080818	-1868.054729309684
1200000	-6498.5300035746895	-4188.805763089175	-2309.7242404855147	1227.398286393364	50340.11152571289	4370.858966746471	7297.508817829893	2108.533850722375	3129.15624779226	5317.380583554795	3536.6979129706997	4141.075465656263	1117.5019088471984	682.1550224259706	19.0	24.0	17.0	18.0	8.0	6.0	5.0	28.0	56.0	17.0	2.825003838369814	0.3825357607544369	0.17114683123231136	0.19618019444426907	0.25013721356898194	1.4536523156757428E-5	-2309.7242404855147	-1801.4992770613521
1300000	-6585.3933848189245	-4256.280612945795	-2329.1127718731295	1184.4153074768158	19331.978083084377	37012.28420144898	6883.713985936137	5425.1996248598	8045.498773411552	12224.71019610008	3589.800431405551	7260.940238299206	937.765354913749	369.02505420609015	20.0	22.0	11.0	7.0	6.0	13.0	25.0	31.0	47.0	16.0	3.6035050435987213	0.4525134477555059	0.14969507958850717	0.1668062649770893	0.23098520767889685	1.0952851392640594E-5	-2329.1127718731295	-1863.8293134979897
1400000	-6589.620952581025	-4255.394376027997	-2334.2265765530283	1154.4809994752354	22273.75387017957	27166.687875257125	68998.28539081775	12882.629931172432	6556.461832674908	2847.4772537025333	3081.1348471084875	2324.734165663601	3206.7282528863875	598.5081899306167	4.0	1.0	16.0	14.0	64.0	19.0	13.0	3.0	41.0	23.0	3.7305863106769097	0.436747744646609	0.1433562073634904	0.1841266260887192	0.2357694219011806	1.1922282623047265E-5	-2334.2265765530283	-1862.5352614504661
1500000	-6498.285161426242	-4191.580312921832	-2306.7048485044097	1188.226099537805	33875.83935801906	58577.93282795709	4633.647588738597	14362.636510574745	7814.975305379304	2148.5418096711023	1055.0960760361565	1731.376813042565	2654.7627475391405	500.3022724916697	11.0	11.0	24.0	3.0	37.0	45.0	11.0	2.0	26.0	28.0	3.304695712117253	0.44102427400524413	0.13781540423903452	0.18270513409980724	0.23845518765591317	1.6943652257491054E-5	-2306.7048485044097	-1798.6864874001296
1600000	-6597.352323435682	-4305.704395858284	-2291.647927577397	1407.2139286202737	22765.1568059496	21266.31175806163	4151.266013055959	4814.882735251612	5453.240198772251	9473.17540911178	5388.50357945236	5470.127245854141	775.0620801554387	649.3965035133612	8.0	59.0	2.0	29.0	10.0	14.0	8.0	21.0	24.0	23.0	3.1976591931041978	0.40832541481441137	0.14902621202715505	0.19201970223312492	0.2506286709253075	1.1399511296029079E-5	-2291.647927577397	-1916.281086241176
1700000	-6474.699623433689	-4165.35584261273	-2309.3437808209596	947.5955787704245	25066.17934823014	19697.916108274836	35700.217353790795	3376.96135074825	677.7790296214531	734.8714728910619	1830.9914056893372	2289.69941127452	1590.8980000481822	373.97684415717055	11.0	27.0	15.0	23.0	8.0	32.0	8.0	44.0	2.0	28.0	2.841706504818061	0.40098606925774627	0.15893960873535692	0.20505920373725836	0.2350151182696374	1.4857400776762155E-5	-2309.3437808209596	-1779.4507919958457
1800000	-6504.276303531082	-4190.693801382068	-2313.5825021490136	1347.6435569840253	44196.4490619394	37353.99064307805	10663.170004948639	5353.167098335069	7084.009722622639	2256.123703463643	1602.0557353803852	3610.7735077614834	415.0765703542517	280.4635234946265	23.0	5.0	16.0	8.0	26.0	1.0	46.0	32.0	11.0	30.0	2.8829180247259956	0.42019437789586794	0.15033398637371292	0.19370721846529865	0.2357644172651194	1.4867790794299745E-5	-2313.5825021490136	-1802.9166374143053
1900000	-6529.249976287463	-4236.484119331795	-2292.765856955668	735.7369353060403	21912.699917248126	19281.08628502648	27466.125208680154	18396.21540637193	2141.9990943678326	4808.307481655445	5560.317677608111	5318.467368768084	745.64012925647	264.37184254519735	28.0	7.0	8.0	30.0	17.0	16.0	19.0	19.0	39.0	15.0	2.925612226311713	0.42429145544973107	0.15224127958973652	0.19208631437537446	0.23138095058515676	1.46996232288174E-5	-2292.765856955668	-1845.9533372357096
